Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2022-09-27,8372.51,6714.02,6724.53,9804.6,6692.81,7108.43,7074.8
2022-09-28,8266.58,6925.29,6900.41,9889.0,6828.12,7248.55,7196.57
2022-09-29,7860.53,6736.91,6719.01,9780.22,6712.41,7141.2,6706.48
2022-09-30,7624.41,6631.28,6596.94,9710.67,6607.45,7002.89,6632.47
2022-10-03,7858.88,6800.29,6803.16,9701.16,6811.68,7238.62,6061.11
2022-10-04,8060.25,7106.03,7010.07,9845.01,7130.35,7483.38,6237.14
2022-10-05,8076.8,7097.82,6995.58,9814.7,7042.32,7493.0,6021.35
2022-10-06,8023.29,7059.67,6994.89,9624.48,6898.78,7420.54,5954.34
2022-10-07,7728.68,6722.83,6805.92,9522.83,6760.98,7043.18,5577.77
2022-10-10,7746.89,6670.6,6749.36,9535.32,6697.82,6893.14,5575.02
2022-10-11,7667.44,6584.92,6702.46,9673.23,6504.53,6777.68,5413.49
2022-10-12,7632.13,6625.41,6728.67,9670.85,6609.79,6787.9,5432.0
2022-10-13,7888.67,6603.7,6832.12,9817.08,6977.25,7043.18,5544.02
2022-10-14,7634.34,6273.31,6659.7,9776.06,7093.35,6872.39,5125.69
2022-10-17,7856.67,6677.64,6894.89,9902.67,7391.28,7142.1,5484.76
2022-10-18,7930.6,6828.46,6950.06,9868.2,7581.38,7171.27,5505.76
2022-10-19,7936.67,6752.76,6871.44,9789.73,7432.74,7110.53,5552.02
2022-10-20,7910.74,6763.32,6894.89,9814.7,7408.5,7100.61,5182.95
2022-10-21,8124.8,7002.16,6974.89,10028.7,7797.65,7280.12,5361.98
2022-10-24,8245.06,7031.5,7070.76,10163.63,7807.22,7434.37,5282.22
2022-10-25,8404.51,7077.28,7205.94,10147.58,7827.63,7536.9,5561.52
2022-10-26,8239.55,6787.38,6547.28,10236.75,7917.58,6955.38,5617.03
2022-10-27,7988.53,6511.57,6360.37,10242.69,7948.84,6817.97,5628.28
2022-10-28,8592.08,6068.5,6641.08,10394.87,8043.26,7092.19,5714.05
2022-10-31,8459.67,6011.58,6518.31,10341.37,8030.5,6979.74,5689.54
2022-11-01,8311.27,5680.01,6239.68,10289.06,8175.31,6860.66,5696.54
2022-11-02,8001.22,5405.96,5998.28,10130.94,8100.04,6618.01,5375.49
2022-11-03,7661.93,5240.47,5754.13,10148.18,8114.71,6442.11,5383.74
2022-11-04,7647.01,5339.06,5971.38,10193.35,8336.72,6656.8,5187.7
2022-11-07,7676.85,5312.65,6103.12,10282.52,8380.74,6851.64,4927.9
2022-11-08,7708.9,5280.38,6131.39,10333.64,8385.84,6881.71,4783.38
2022-11-09,7453.04,5055.03,6022.42,10251.01,8276.75,6750.61,4440.56
2022-11-10,8116.17,5670.62,6479.0,10371.09,8617.41,7305.97,4768.87
2022-11-11,8272.56,5914.75,6649.35,10060.8,8631.45,7430.16,4900.15
2022-11-14,8194.09,5779.78,6600.39,10218.92,8542.77,7262.98,4774.63
2022-11-15,8291.35,5806.19,6789.36,10247.45,8480.89,7275.61,4861.39
2022-11-16,8222.27,5699.38,6817.64,10311.06,8492.37,7288.87,4673.86
2022-11-17,8328.92,5566.17,6783.85,10394.27,8455.37,7287.37,4580.09
2022-11-18,8360.42,5524.5,6719.7,10473.93,8538.31,7273.5,4505.58
2022-11-21,8179.17,5425.91,6593.49,10527.77,8487.91,7298.52,4197.52
2022-11-22,8299.08,5469.34,6693.5,10578.63,8614.86,7388.38,4248.53
2022-11-23,8348.27,5523.92,6790.74,10589.99,8706.72,7465.27,4580.84
2022-11-25,8184.69,5481.66,6721.77,10603.75,8723.31,7462.55,4572.34
2022-11-28,7969.73,5513.35,6624.53,10609.14,8570.84,7289.78,4573.84
2022-11-29,7801.18,5423.57,6565.21,10534.95,8711.83,7246.66,4521.58
2022-11-30,8180.27,5665.34,6965.24,10649.22,8815.18,7693.22,4868.39
2022-12-01,8195.75,5604.31,6965.24,10693.49,8691.41,7679.66,4868.39
2022-12-02,8168.12,5523.92,6927.3,10701.87,8622.52,7689.61,4872.39
2022-12-05,8102.91,5340.82,6861.09,10695.89,8380.74,7544.27,4562.09
2022-12-06,7897.34,5178.85,6688.67,10535.55,8394.77,7391.09,4496.32
2022-12-07,7788.47,5191.18,6547.97,10599.56,8389.03,7368.48,4351.8
2022-12-08,7882.97,5302.09,6463.14,10601.36,8477.06,7459.84,4336.8
2022-12-09,7855.89,5228.15,6402.44,10514.01,8431.13,7400.14,4477.07
2022-12-12,7984.65,5313.83,6435.55,10639.65,8561.91,7613.92,4196.27
2022-12-13,8038.8,5427.67,6595.56,10721.61,8553.62,7746.9,4024.49
2022-12-14,7913.92,5374.27,6556.94,10754.52,8510.88,7755.94,3920.72
2022-12-15,7543.11,5190.59,6266.57,10618.71,8299.71,7508.39,3942.47
2022-12-16,7433.14,5155.97,6225.19,10509.82,8248.04,7378.13,3756.44
2022-12-19,7314.89,4983.44,6099.67,10498.46,8297.16,7250.28,3747.44
